tailid;parentid;orgstructid;name_nb;name_nn;name_en;orgid;kommunenummer
34511;;82;"Incestsenteret i Rogaland (SMSO Rogaland)";"Incestsenteret i Rogaland (SMSO Rogaland)";"Support centre against incest - Rogaland";;
34514;;82;"Senteret mot seksuelle overgrep i Telemark";"Senteret mot seksuelle overgrep i Telemark";"Senteret mot seksuelle overgrep i Telemark";979411812;
34515;;82;"Støttesenter mot incest og seksuelle overgrep i Tromsø";"Støttesenter mot incest og seksuelle overgrep i Tromsø";"Support centre against incest - Tromsø";981184297;
34516;;82;"Incestsenteret i Vestfold (landsdekkende)";"Incestsenteret i Vestfold (landsdekkende)";"Incestsenteret i Vestfold (landsdekkende)";971316527;
34517;;82;"Støttesenter mot seksuelle overgrep -  Agder";"Støttesenter mot seksuelle overgrep -  Agder";"Support centre against sexual abuse - Agder";;
38042;26654;34;"Kystverket, beredskapsavdelingen ";"Kystverket, beredskapsavdelingen ";"Norwegian Coastal Administration’s Department of Emergency Response";;
34604;35821;39;"Konfliktrådet i Øst-Finnmark";"Konfliktrådet i Aust-Finnmark";"Øst-Finnmark Mediation and Reconciliation Service";;
34606;35821;39;"Konfliktrådet i Salten";"Konfliktrådet i Salten";"Salten Mediation and Reconciliation Service ";;
34607;35821;39;"Konfliktrådet på Helgeland";"Konfliktrådet på Helgeland";"Helgeland Mediation and Reconciliation Service ";;
24146;40183;37;"Skatt Midt-Norge Namsos";"Skatt Midt-Noreg Namsos";"Namsos Tax Offices";;
24149;26065;37;"NAV Volda ";"NAV Volda ";"NAV Volda ";;
24155;40185;37;"Skatt sør Mandal";"Skatt sør Mandal";"Mandal Tax Office";;
24162;26065;37;"NAV Ørsta ";"NAV Ørsta ";"NAV Ørsta";;
24165;32161;87;"AS Vinmonopolet";"AS Vinmonopolet";"AS Vinmonopolet";817209882;
24167;20530;52;"Norsk Tipping AS";"Norsk Tipping AS";"Norwegian National Lottery";925836613;
24170;26453;89;"Store Norske Spitsbergen Kulkompani A/S";"Store Norske Spitsbergen Kulkompani A/S";"Store Norske A/S";;
24171;26453;52;"Flytoget AS";"Flytoget AS";"Airport Express Train AS";965694404;
24172;26144;37;"NAV Øvre Eiker";"NAV Øvre Eiker";"NAV Øvre Eiker";;
24173;25084;49;"Statnett SF";"Statnett SF";Statnett;962986633;
24118;26064;37;"NAV Øygarden";"NAV Øygarden";"NAV Øygarden ";;
40224;40183;37;"Skatt Midt-Norge Hitra";"Skatt Midt-Noreg Hitra";"Hitra Tax Office";;
24815;26057;37;"NAV Balestrand";"NAV Balestrand";"NAV Balestrand";;
24816;26052;37;"NAV Ballangen";"NAV Ballangen";"NAV Ballangen";;
24817;26060;37;"NAV Balsfjord ";"NAV Balsfjord ";"NAV Balsfjord ";;
24820;26052;37;"NAV Beiarn";"NAV Beiarn";"NAV Beiarn";;
24821;26060;37;"NAV Berg ";"NAV Berg ";"NAV Berg ";;
24822;26064;37;"NAV Arna";"NAV Arna";"NAV Arna ";;
24823;26064;37;"NAV Fana";"NAV Fana";"NAV Fana ";;
24112;40182;37;"Skatt nord Narvik";"Skatt nord Narvik";"Narvik Tax Office";;
32905;;77;"Hviterusslands ambassade (Belarus)";"Kviterussland sin ambassade";"Embassy of the Republic of Belarus";;
32906;;81;"Selvhjelp for innvandrere og flyktninger ";"Selvhjelp for innvandrere og flyktninger ";"Self-Help for Immigrants and Refugees";971272600;
32907;;77;"Benins ambassade";"Benins ambassade";"Embassy of the Republic of Benin";;
32915;;77;"Bhutan - utenriksrepresentasjon";"Bhutan - utenriksrepresentasjon";"Permanent Mission of the Kingdom of Bhutan to the UN";;
32916;;77;"Bolivias ambassade";"Bolivias ambassade";"Embassy of Bolivia";;
30942;42202;281;"Notodden forliksråd";"Notodden forliksråd";"Notodden Conciliation Board";;
30992;42202;281;"Sauherad forliksråd";"Sauherad forliksråd";"Sauherad Conciliation Board";;
30998;42202;281;"Siljan forliksråd";"Siljan forliksråd";"Siljan Conciliation Board";;
31055;42202;281;"Tinn forliksråd";"Tinn forliksråd";"Tinn Conciliation Board";;
44562;32236;39;"Orkdal DPS - Haltdalen";"Orkdal DPS - Haltdalen";"Orkdal District Psychiatric Centre - Haltdalen";;
44582;32229;39;"Salten distriktspsykiatriske senter - Fauske (DPS)";"Salten distriktspsykiatriske senter - Fauske (DPS)";"Salten District Psychiatric Centre - Fauske";;
44583;32229;39;"Lofoten DPS";"Lofoten DPS";"Lofoten District Psychiatric Centre";;
44584;;39;"DPS Sjøvegan - Senter for psykisk helse Midt-Troms";"DPS Sjøvegan - Senter for psykisk helse Midt-Troms";"Psyciatric District Center Midt-Troms - Sjøvegan";;
21740;25531;39;"Nissedal lensmannskontor";"Nissedal lensmannskontor";"Nissedal Police Station (lensmann) ";;
21742;25531;39;"Notodden politistasjon";"Notodden politistasjon";"Notodden Police Station ";;
21743;25531;39;"Bø og Sauherad lensmannskontor";"Bø og Sauherad lensmannskontor";"Bø og Sauherad Police Station";;
21744;25531;39;"Hjartdal lensmannskontor";"Hjartdal lensmannskontor";"Hjartdal Police Station (lensmann) ";;
21746;32821;39;"Politihuset i Kongsberg";"Politihuset i Kongsberg";"Kongsberg Police Station ";;
21749;25235;39;"Gran og Lunner lensmannskontor";"Gran og Lunner lensmannskontor";"Gran and Lunner Police Station ";;
21753;25235;39;"Nordre Land lensmannskontor";"Nordre Land lensmannskontor";"Nordre Land Police Station ";;
21754;25235;39;"Søndre Land lensmannskontor";"Søndre Land lensmannskontor";"Søndre Land Police Station ";;
21758;25235;39;"Vestre Slidre lensmannskontor";"Vestre Slidre lensmannskontor";"Vestre Slidre Police Station ";;
21759;25235;39;"Vestre Toten lensmannskontor";"Vestre Toten lensmannskontor";"Vestre Toten Police Station ";;
21764;25636;39;"Gol og Hemsedal lensmannskontor";"Gol og Hemsedal lensmannskontor";"Gol og Hemsedal Police Station ";;
21765;25636;39;"Hol lensmannskontor";"Hol lensmannskontor";"Hol Police Station";;
21767;25636;39;"Krødsherad lensmannskontor";"Krødsherad lensmannskontor";"Krødsherad Police Station ";;
21770;25636;39;"Sigdal lensmannskontor";"Sigdal lensmannskontor";"Sigdal Police Station";;
21773;25636;39;"Ål lensmannskontor";"Ål lensmannskontor";"Ål Police Station ";;
21587;26200;39;"Vanylven lensmannskontor";"Vanylven lensmannskontor";"Vanylven Police Station (lensmann) ";;
28692;25703;73;"Oslo kommune - kemnerkontoret";"Oslo kommune - kemnerkontoret";"City of Oslo Tax Collection Office";;
21611;26051;39;"Stord lensmannskontor";"Stord lensmannskontor";"Stord Police Station (lensmann) ";;
21614;26006;39;"Vaksdal lensmannskontor";"Vaksdal lensmannskontor";"Vaksdal Police Station (lensmann) ";;
21615;26006;39;"Voss lensmannskontor";"Voss lensmannskontor";"Voss Police Station (lensmann) ";;
21618;26006;39;"Bergen vest politistasjonsdistrikt";"Bergen vest politistasjonsdistrikt";"Bergen West Police Station ";;
32141;33728;37;"Lillestrøm trafikkstasjon";"Lillestrøm trafikkstasjon";"Lillestrøm Traffic Services Office";;
32145;22317;37;"Hønefoss trafikkstasjon";"Hønefoss trafikkstasjon";"Hønefoss Traffic Services Office";;
32161;;27;"Helse- og omsorgsdepartementet";"Helse- og omsorgsdepartementet";"Ministry of Health and Care Services";983887406;
32201;;66;"Re kommune";"Re kommune";"Re Municipality";983885497;0716
32189;32161;33;"Helsedirektoratet  ";"Helsedirektoratet ";"Norwegian Directorate of Health";983544622;
34348;25892;38;"Kripos tipsmottak";"Kripos tipsmottak";"Police online tip-off system (Kripos)";;
34349;;81;"Voksne for Barn (Bekymringstelefonen)";"Voksne for Barn (Bekymringstelefonen)";"Voksne for Barn (Bekymringstelefonen)";954804488;
34350;32189;34;Rustelefonen;Rustelefonen;Rustelefonen;;
31011;42202;281;"Snillfjord forliksråd";"Snillfjord forliksråd";"Snillfjord Conciliation Board";;
31012;42202;281;"Snåsa forliksråd";"Snåsa forliksråd";"Snåsa Conciliation Board";;
31014;42202;281;"Sokndal forliksråd";"Sokndal forliksråd";"Sokndal Conciliation Board";;
31015;42202;281;"Sola forliksråd";"Sola forliksråd";"Sola Conciliation Board";;
31016;42202;281;"Solund forliksråd";"Solund forliksråd";"Solund Conciliation Board";;
31017;42202;281;"Songdalen forliksråd";"Songdalen forliksråd";"Songdalen Conciliation Board";;
31019;42202;281;"Spydeberg forliksråd";"Spydeberg forliksråd";"Spydeberg Conciliation Board";;
31020;42202;281;"Stange forliksråd";"Stange forliksråd";"Stange Conciliation Board";;
31022;42202;281;"Steigen forliksråd";"Steigen forliksråd";"Steigen Conciliation Board";;
31023;42202;281;"Steinkjer forliksråd";"Steinkjer forliksråd";"Steinkjer Conciliation Board";;
31024;42202;281;"Stjørdal forliksråd";"Stjørdal forliksråd";"Stjørdal Conciliation Board";;
