OldMunicipality,NewMunicipality,Coords
Iveland,Iveland,"(87238, 6501410)"
Jelsa,Suldal,"(5455, 6626756)"
Jevnaker,Jevnaker,"(244630, 6687145)"
Jondal,Jondal,"(17125, 6714275)"
Jostedal,Luster,"(89400, 6831987)"
Jølster,Jølster,"(48556, 6855794)"
Jøssund,Bjugn,"(244202, 7081254)"
Karasjok,Karasjok - Kárásjoga gielda,"(909898, 7742329)"
Karlsøy,Karlsøy,"(676456, 7768303)"
Kautokeino,Kautokeino - Guovdageainnu suohkan,"(820714, 7676778)"
Kinn,Bremanger,"(-11114, 6886699)"
Kistrand,Porsanger - Porsánjggu gielda - Porsangin komuuni,"(877621, 7802624)"
Kjelvik,Nordkapp,"(897302, 7911053)"
Kjerringøy,Bodø,"(473416, 7463089)"
Klepp,Klepp,"(-40678, 6553118)"
Klinga,Namsos,"(331585, 7153591)"
Klæbu,Klæbu,"(273653, 7027052)"
Kolbu,Østre Toten,"(271563, 6734085)"
Kolvereid,Nærøy,"(339132, 7197502)"
Kongsberg,Kongsberg,"(198605, 6626282)"
Kongsvinger,Kongsvinger,"(333565, 6676514)"
Kopervik,Karmøy,"(-51177, 6611558)"
Kornstad,Averøy,"(128114, 7012898)"
Kragerø,Kragerø,"(177909, 6538808)"
Kristiania,Oslo,"(261502, 6649292)"
Kristiansand,Kristiansand,"(88166, 6466404)"
Kristiansund,Kristiansund,"(133614, 7018593)"
Kråkerøy,Fredrikstad,"(268259, 6570534)"
Kråkstad,Ski,"(266042, 6627609)"
Krødsherad,Krødsherad,"(201825, 6683534)"
Kvalsund,Kvalsund,"(833272, 7846196)"
Kvam,Steinkjer,"(328773, 7103152)"
Kvernes,Averøy,"(128114, 7012898)"
Kvikne,Tynset,"(280892, 6911847)"
Kvinnherad,Kvinnherad,"(-524, 6683734)"
Kviteseid,Kviteseid,"(131000, 6602872)"
Kvås,Lyngdal,"(33634, 6471595)"
Kvæfjord,Kvæfjord,"(547395, 7629395)"
Kvænangen,Kvænangen,"(769264, 7774743)"
Kyrkjebø,Høyanger,"(21549, 6819926)"
Landvik,Grimstad,"(125525, 6485086)"
Langesund,Bamble,"(198357, 6552083)"
Lardal,Lardal,"(213965, 6595706)"
Larvik,Larvik,"(214894, 6556496)"
Laudal,Lindesnes,"(46621, 6464013)"
Lavangen,Lavangen,"(613440, 7628793)"
Lavik,Gulen,"(-35713, 6801489)"
Lebesby,Lebesby,"(947287, 7917085)"
Leikanger,Leikanger,"(61072, 6810979)"
Leinstrand,Trondheim,"(270282, 7041668)"
Leiranger,Steigen,"(500697, 7517909)"
Leka,Leka,"(345218, 7222777)"
Leksvik,Leksvik,"(283754, 7068032)"
Lensvik,Agdenes,"(242691, 7052350)"
Lenvik,Lenvik,"(618185, 7683012)"
Lesja,Lesja,"(179916, 6902476)"
Levanger,Levanger,"(317450, 7073995)"
Lier,Lier,"(233124, 6637247)"
Lierne,Lierne,"(432315, 7149465)"
Liknes,Kvinesdal,"(29856, 6492024)"
Lille Elvedalen,Alvdal,"(272301, 6893937)"
Lillehammer,Lillehammer,"(255869, 6784031)"
Lillesand,Lillesand,"(111733, 6475634)"
Lillestrøm,Skedsmo,"(278878, 6652959)"
Lindås,Lindås,"(-31514, 6751938)"
Lom,Lom,"(161806, 6872780)"
Loppa,Loppa,"(776694, 7809305)"
Lund,Lund,"(7628, 6510645)"
Lunde,Nome,"(173776, 6585202)"
Lunner,Lunner,"(257360, 6692307)"
Lurøy,Lurøy,"(404409, 7366068)"
Luster,Luster,"(89400, 6831987)"
Lyngdal,Lyngdal,"(33634, 6471595)"
Lyngen,Lyngen,"(702920, 7727292)"
Lånke,Stjørdal,"(296660, 7044273)"
Lårdal,Tokke,"(104301, 6610494)"
Lærdal,Lærdal,"(95209, 6797040)"
Lødingen,Lødingen,"(540658, 7588901)"
Lørenskog,Lørenskog,"(274328, 6650736)"
Løten,Løten,"(301193, 6747996)"
Malangen,Balsfjord,"(667079, 7686917)"
Malvik,Malvik,"(290054, 7038289)"
Mandal,Mandal,"(54631, 6456590)"
Manger,Radøy,"(-43255, 6764204)"
Masfjorden,Masfjorden,"(-26608, 6779398)"
Meldal,Meldal,"(232761, 7001703)"
Melhus,Melhus,"(263260, 7026329)"
Meløy,Meløy,"(443361, 7417705)"
Meråker,Meråker,"(337541, 7035861)"
Mo,Rana,"(461445, 7354862)"
Modalen,Modalen,"(828, 6777208)"
Modum,Modum,"(221325, 6658982)"
Molde,Molde,"(99999, 6980792)"
Mosjøen,Vefsn,"(417816, 7303376)"
Moss,Moss,"(253882, 6596410)"
Mosterøy,Rennesøy,"(-31683, 6588225)"
Mosvik,Inderøy,"(317737, 7088485)"
Mykland,Birkenes,"(104164, 6485926)"
Målselv,Målselv,"(643694, 7672406)"
Måsøy,Måsøy,"(849819, 7904982)"
Namdalseid,Namdalseid,"(316741, 7127459)"
Namsos,Namsos,"(331585, 7153591)"
Nannestad,Nannestad,"(279290, 6682490)"
Narvik,Narvik,"(599528, 7593776)"
Naustdal,Naustdal,"(7192, 6854837)"
Nedre Eiker,Nedre Eiker,"(219603, 6634163)"
Nedstrand,Tysvær,"(-40826, 6625960)"
Nes,Nes (Akershus),"(303651, 6670282)"
Nesna,Nesna,"(410718, 7343529)"
Nesodden,Nesodden,"(257110, 6643302)"
Nesseby,Nesseby - Unjárgga gielda,"(1009141, 7842069)"
Nesset,Nesset,"(146603, 6979714)"
Nissedal,Nissedal,"(128364, 6560272)"
Nittedal,Nittedal,"(270693, 6663337)"
Nord-Audnedal,Audnedal,"(52281, 6485772)"
Nord-Aurdal,Nord-Aurdal,"(188428, 6774875)"
Nord-Fron,Nord-Fron,"(221501, 6840361)"
Nord-Frøya,Frøya,"(195378, 7081671)"
Nord-Odal,Nord-Odal,"(309444, 6700069)"
Nord-Varanger,Vadsø,"(1056260, 7841826)"
Nord-Vågsøy,Vågsøy,"(-17456, 6906524)"
Norddal,Norddal,"(99157, 6931458)"
Norderhov,Ringerike,"(236852, 6678708)"
Nordfold,Steigen,"(500697, 7517909)"
Nordre Land,Nordre Land,"(232450, 6754390)"
Nordreisa,Nordreisa,"(732237, 7751502)"
Nore,Nore og Uvdal,"(165411, 6696520)"
Nærbø,Hå,"(-42323, 6535232)"
Nærøy,Nærøy,"(339132, 7197502)"
Nøtterøy,Nøtterøy,"(238081, 6574029)"
Oddernes,Kristiansand,"(88166, 6466404)"
Ogna,Hå,"(-42323, 6535232)"
Ogndal,Steinkjer,"(328773, 7103152)"
Onsøy,Fredrikstad,"(268259, 6570534)"
Oppdal,Oppdal,"(227418, 6951690)"
Orkdal,Orkdal,"(241687, 7029354)"
Os,Os (Hordaland),"(-27257, 6710455)"
Osen,Osen,"(283102, 7137877)"
Overhalla,Overhalla,"(353381, 7155577)"
Polmak,Tana - Deanu gielda,"(995112, 7842002)"
Porsgrunn,Porsgrunn,"(194424, 6568079)"
Rakkestad,Rakkestad,"(292604, 6593443)"
Ramnes,Re,"(231017, 6590927)"
Randesund,Kristiansand,"(88166, 6466404)"
Rauland,Vinje,"(104358, 6624233)"
Rennebu,Rennebu,"(245693, 6976374)"
Rennesøy,Rennesøy,"(-31683, 6588225)"
Rindal,Rindal,"(207703, 7004896)"
Ringebu,Ringebu,"(241796, 6831434)"
Ringsaker,Ringsaker,"(279682, 6756921)"
Rissa,Rissa,"(249948, 7060394)"
Risør,Risør,"(165023, 6523189)"
Roald,Giske,"(44350, 6961325)"
Roan,Roan,"(268042, 7125018)"
Rollag,Rollag,"(181873, 6663391)"
Romedal,Stange,"(292222, 6737160)"
Rovde,Sande (Møre og Romsdal),"(10594, 6933069)"
Rygge,Rygge,"(255571, 6593209)"
Råde,Råde,"(265300, 6586545)"
Rødenes,Marker,"(310784, 6598203)"
Rødøy,Rødøy,"(424329, 7400302)"
Røldal,Odda,"(30240, 6688986)"
Rømskog,Rømskog,"(320838, 6627828)"
Røra,Inderøy,"(317737, 7088485)"
Røros,Røros,"(314458, 6943472)"
Røyken,Røyken,"(242263, 6631401)"
Salangen,Salangen,"(613978, 7642991)"
Saltdal,Saltdal,"(517133, 7442740)"
Samnanger,Samnanger,"(-8249, 6729183)"
Sand,Suldal,"(5455, 6626756)"
Sandar,Sandefjord,"(226548, 6564135)"
Sande,Sande (Møre og Romsdal),"(10594, 6933069)"
Sandefjord,Sandefjord,"(226548, 6564135)"
Sandnes,Sandnes,"(-33904, 6560209)"
Sandvollan,Inderøy,"(317737, 7088485)"
